time,seq,avg_price,interval
2025-09-13 20:57:04,1,115876.68019576,5m
2025-09-13 20:57:06,2,115876.69660762,5m
2025-09-13 20:57:07,3,115876.69404969,5m
2025-09-13 20:57:08,4,115876.6941521,5m
2025-09-13 20:57:09,5,115876.66277334,5m
2025-09-13 20:57:10,6,115876.66102355,5m
2025-09-13 20:57:11,7,115876.6534696,5m
2025-09-13 20:57:12,8,115876.65156572,5m
2025-09-13 20:57:13,9,115876.64440453,5m
2025-09-13 20:57:14,10,115876.53979519,5m
2025-09-13 20:57:15,11,115876.53984568,5m
2025-09-13 20:57:16,12,115876.56990463,5m
2025-09-13 20:57:17,13,115876.57072732,5m
2025-09-13 20:57:18,14,115876.57145524,5m
2025-09-13 20:57:20,15,115876.49507794,5m
2025-09-13 20:57:21,16,115876.50987171,5m
2025-09-13 20:57:22,17,115876.50694156,5m
2025-09-13 20:57:23,18,115876.48949232,5m
2025-09-13 20:57:24,19,115874.98851594,5m
2025-09-13 20:57:25,20,115874.95690696,5m
2025-09-13 20:57:26,21,115874.74257804,5m
2025-09-13 20:57:27,22,115874.73981167,5m
2025-09-13 20:57:28,23,115868.93022114,5m
2025-09-13 20:57:30,24,115868.77830317,5m
2025-09-13 20:57:31,25,115868.91916697,5m
2025-09-13 20:57:32,26,115868.90939754,5m
2025-09-13 20:57:33,27,115868.91705612,5m
2025-09-13 20:57:34,28,115868.91260029,5m
2025-09-13 20:57:35,29,115868.90022548,5m
2025-09-13 20:57:36,30,115868.90330438,5m
2025-09-13 20:57:37,31,115868.03841808,5m
2025-09-13 20:57:38,32,115868.03969674,5m
2025-09-13 20:57:39,33,115868.04205559,5m
2025-09-13 20:57:40,34,115868.0504971,5m
2025-09-13 20:57:41,35,115868.09944676,5m
2025-09-13 20:57:42,36,115868.10488291,5m
2025-09-13 20:57:43,37,115868.07485832,5m
2025-09-13 20:57:44,38,115868.04614652,5m
2025-09-13 20:57:45,39,115868.07930994,5m
2025-09-13 20:57:46,40,115868.13109904,5m
2025-09-13 20:57:48,41,115868.13755507,5m
2025-09-13 20:57:50,42,115868.1890541,5m
2025-09-13 20:57:51,43,115869.1013591,5m
2025-09-13 20:57:52,44,115869.10171878,5m
2025-09-13 20:57:53,45,115869.12882027,5m
2025-09-13 20:57:54,46,115869.12206584,5m
2025-09-13 20:57:55,47,115869.13827682,5m
2025-09-13 20:57:56,48,115869.20942752,5m
2025-09-13 20:57:57,49,115869.20884167,5m
2025-09-13 20:57:58,50,115869.14157353,5m
2025-09-13 20:57:59,51,115869.0606409,5m
2025-09-13 20:58:00,52,115869.05197103,5m
2025-09-13 20:58:01,53,115868.85240054,5m
2025-09-13 20:58:02,54,115868.57698533,5m
2025-09-13 20:58:03,55,115868.6529836,5m
2025-09-13 20:58:04,56,115868.65077937,5m
2025-09-13 20:58:05,57,115868.65173945,5m
2025-09-13 20:58:06,58,115868.71098594,5m
2025-09-13 20:58:08,59,115868.5903095,5m
2025-09-13 20:58:09,60,115868.68414108,5m
2025-09-13 20:58:10,61,115868.57274434,5m
2025-09-13 20:58:11,62,115868.57360028,5m
2025-09-13 20:58:13,63,115868.47342096,5m
2025-09-13 20:58:15,64,115868.48691933,5m
2025-09-13 20:58:16,65,115868.49083653,5m
2025-09-13 20:58:17,66,115868.49286181,5m
2025-09-13 20:58:18,67,115868.60682172,5m
2025-09-13 20:58:19,68,115868.62579435,5m
2025-09-13 20:58:20,69,115868.63129244,5m
2025-09-13 20:58:21,70,115868.64300108,5m
2025-09-13 20:58:22,71,115869.92759601,5m
2025-09-13 20:58:23,72,115869.95254208,5m
2025-09-13 20:58:24,73,115870.08261362,5m
2025-09-13 20:58:25,74,115870.08446022,5m
2025-09-13 20:58:26,75,115870.09691344,5m
2025-09-13 20:58:27,76,115870.11318048,5m
2025-09-13 20:58:28,77,115870.1261065,5m
2025-09-13 20:58:30,78,115870.12925463,5m
2025-09-13 20:58:31,79,115870.23441928,5m
2025-09-13 20:58:32,80,115870.26868895,5m
2025-09-13 20:58:33,81,115871.35361935,5m
2025-09-13 20:58:34,82,115871.22126273,5m
2025-09-13 20:58:35,83,115871.22000498,5m
