seq,time,bid_price,bid_size,ask_price,ask_size
1,2025-09-13 20:43:05,115871.5,12.5608,115871.51,5.29188
2,2025-09-13 20:43:05,115871.5,12.56085,115871.51,5.29188
3,2025-09-13 20:43:05,115871.5,12.5609,115871.51,5.29188
4,2025-09-13 20:43:05,115871.5,12.56085,115871.51,5.29188
5,2025-09-13 20:43:05,115871.5,12.5608,115871.51,5.29188
6,2025-09-13 20:43:05,115871.5,12.56085,115871.51,5.29188
7,2025-09-13 20:43:05,115871.5,12.56085,115871.51,4.78558
8,2025-09-13 20:43:05,115871.5,12.56085,115871.51,5.29188
9,2025-09-13 20:43:05,115871.5,12.56085,115871.51,5.29149
10,2025-09-13 20:43:05,115871.5,12.56085,115871.51,5.29195
11,2025-09-13 20:43:05,115871.5,12.55834,115871.51,5.29195
12,2025-09-13 20:43:05,115871.5,12.55853,115871.51,5.29195
13,2025-09-13 20:43:05,115871.5,12.55853,115871.51,5.2917
14,2025-09-13 20:43:06,115871.5,12.55858,115871.51,5.2917
15,2025-09-13 20:43:06,115871.5,12.55853,115871.51,5.2917
16,2025-09-13 20:43:06,115871.5,12.55848,115871.51,5.2917
17,2025-09-13 20:43:06,115871.5,12.55853,115871.51,5.2917
18,2025-09-13 20:43:06,115871.5,12.55848,115871.51,5.2917
19,2025-09-13 20:43:06,115871.5,12.55843,115871.51,5.2917
20,2025-09-13 20:43:06,115871.5,12.55848,115871.51,5.2917
21,2025-09-13 20:43:06,115871.5,12.55836,115871.51,5.2917
22,2025-09-13 20:43:06,115871.5,12.55841,115871.51,5.2917
23,2025-09-13 20:43:06,115871.5,12.55846,115871.51,5.2917
24,2025-09-13 20:43:06,115871.5,12.55841,115871.51,5.2917
25,2025-09-13 20:43:06,115871.5,12.55836,115871.51,5.2917
26,2025-09-13 20:43:06,115871.5,12.55836,115871.51,5.29084
27,2025-09-13 20:43:06,115871.5,12.59673,115871.51,5.29084
28,2025-09-13 20:43:06,115871.5,12.59668,115871.51,5.29084
29,2025-09-13 20:43:06,115871.5,12.55831,115871.51,5.29084
30,2025-09-13 20:43:06,115871.5,12.55836,115871.51,5.29084
31,2025-09-13 20:43:06,115871.5,12.55831,115871.51,5.29084
32,2025-09-13 20:43:06,115871.5,12.55836,115871.51,5.29084
33,2025-09-13 20:43:06,115871.5,12.55831,115871.51,5.29084
34,2025-09-13 20:43:06,115871.5,12.55826,115871.51,5.29084
35,2025-09-13 20:43:06,115871.5,12.55831,115871.51,5.29084
36,2025-09-13 20:43:07,115871.5,12.55831,115871.51,5.29159
37,2025-09-13 20:43:07,115871.5,12.55836,115871.51,5.29159
38,2025-09-13 20:43:07,115871.5,12.57131,115871.51,5.29159
39,2025-09-13 20:43:07,115871.5,12.56663,115871.51,5.29159
40,2025-09-13 20:43:07,115871.5,12.56663,115871.51,4.78529
41,2025-09-13 20:43:07,115871.5,12.56668,115871.51,4.78529
42,2025-09-13 20:43:07,115871.5,12.56663,115871.51,4.78529
43,2025-09-13 20:43:07,115871.5,12.56663,115871.51,5.29159
44,2025-09-13 20:43:07,115871.5,12.56658,115871.51,5.29159
45,2025-09-13 20:43:07,115871.5,12.56658,115871.51,4.78529
46,2025-09-13 20:43:07,115871.5,12.56653,115871.51,4.78529
47,2025-09-13 20:43:07,115871.5,12.56658,115871.51,4.78529
48,2025-09-13 20:43:07,115871.5,12.56658,115871.51,5.16909
49,2025-09-13 20:43:07,115871.5,12.56658,115871.51,5.16227
50,2025-09-13 20:43:07,115871.5,12.56658,115871.51,4.77847
51,2025-09-13 20:43:07,115871.5,12.60514,115871.51,4.77847
52,2025-09-13 20:43:07,115871.5,12.60514,115871.51,4.77836
53,2025-09-13 20:43:07,115871.5,12.60488,115871.51,4.77836
54,2025-09-13 20:43:07,115871.5,12.60488,115871.51,4.77841
55,2025-09-13 20:43:07,115871.5,12.60493,115871.51,4.77841
56,2025-09-13 20:43:07,115871.5,12.60493,115871.51,4.77836
57,2025-09-13 20:43:07,115871.5,12.60493,115871.51,5.28466
58,2025-09-13 20:43:07,115871.5,12.60493,115871.51,4.77836
59,2025-09-13 20:43:08,115871.5,12.69123,115871.51,4.77836
60,2025-09-13 20:43:08,115871.5,12.69128,115871.51,4.77836
61,2025-09-13 20:43:08,115871.5,12.69123,115871.51,4.77836
62,2025-09-13 20:43:08,115871.5,12.69118,115871.51,4.77836
63,2025-09-13 20:43:08,115871.5,12.69118,115871.51,5.28466
64,2025-09-13 20:43:08,115871.5,12.60488,115871.51,5.28466
65,2025-09-13 20:43:08,115871.5,12.55488,115871.51,5.28466
66,2025-09-13 20:43:08,115871.5,12.55488,115871.51,5.23762
67,2025-09-13 20:43:08,115871.5,12.51632,115871.51,5.23762
68,2025-09-13 20:43:08,115871.5,12.51637,115871.51,5.23762
69,2025-09-13 20:43:08,115871.5,12.51642,115871.51,5.23762
70,2025-09-13 20:43:08,115871.5,12.51642,115871.51,5.23757
71,2025-09-13 20:43:08,115871.5,12.51637,115871.51,5.23757
72,2025-09-13 20:43:08,115871.5,12.51632,115871.51,5.23757
73,2025-09-13 20:43:08,115871.5,12.51637,115871.51,5.23757
74,2025-09-13 20:43:08,115871.5,12.51637,115871.51,5.23762
75,2025-09-13 20:43:08,115871.5,12.51632,115871.51,5.23762
76,2025-09-13 20:43:08,115871.5,12.51632,115871.51,4.73132
77,2025-09-13 20:43:08,115871.5,12.56632,115871.51,4.73132
78,2025-09-13 20:43:08,115871.5,12.56632,115871.51,4.73459
79,2025-09-13 20:43:08,115871.5,12.56632,115871.51,4.73528
80,2025-09-13 20:43:08,115871.5,12.60632,115871.51,4.73528
81,2025-09-13 20:43:08,115871.5,12.60632,115871.51,4.73448
82,2025-09-13 20:43:08,115871.5,12.60637,115871.51,4.73448
83,2025-09-13 20:43:08,115871.5,12.69267,115871.51,4.73448
84,2025-09-13 20:43:08,115871.5,12.69293,115871.51,4.73448
85,2025-09-13 20:43:08,115871.5,12.69293,115871.51,4.73402
86,2025-09-13 20:43:08,115871.5,12.69293,115871.51,4.73449
87,2025-09-13 20:43:09,115871.5,12.69298,115871.51,4.73449
88,2025-09-13 20:43:09,115871.5,12.69293,115871.51,4.73449
89,2025-09-13 20:43:09,115871.5,12.69298,115871.51,4.73449
90,2025-09-13 20:43:09,115871.5,12.69298,115871.51,4.7338
91,2025-09-13 20:43:09,115871.5,12.69298,115871.51,4.73053
92,2025-09-13 20:43:09,115871.5,12.69303,115871.51,4.73053
93,2025-09-13 20:43:09,115871.5,12.69298,115871.51,4.73053
94,2025-09-13 20:43:09,115871.5,12.69293,115871.51,4.73053
95,2025-09-13 20:43:09,115871.5,12.69298,115871.51,4.73053
96,2025-09-13 20:43:09,115871.5,12.69298,115871.51,4.56625
97,2025-09-13 20:43:09,115871.5,12.69303,115871.51,4.56625
98,2025-09-13 20:43:09,115871.5,12.69298,115871.51,4.56625
99,2025-09-13 20:43:09,115871.5,12.70039,115871.51,4.56625
100,2025-09-13 20:43:09,115871.5,12.70039,115871.51,4.5662
101,2025-09-13 20:43:09,115871.5,12.70039,115871.51,4.56625
102,2025-09-13 20:43:09,115871.5,12.70039,115871.51,4.5663
103,2025-09-13 20:43:09,115871.5,12.70039,115871.51,4.56635
104,2025-09-13 20:43:09,115871.5,12.70039,115871.51,4.56679
105,2025-09-13 20:43:09,115871.5,12.70039,115871.51,4.56765
106,2025-09-13 20:43:09,115871.5,12.70039,115871.51,4.56679
107,2025-09-13 20:43:09,115871.5,12.70039,115871.51,4.56635
108,2025-09-13 20:43:09,115871.5,12.70039,115871.51,4.5698
109,2025-09-13 20:43:09,115871.5,12.70039,115871.51,4.57325
110,2025-09-13 20:43:09,115871.5,12.70039,115871.51,4.59169
111,2025-09-13 20:43:09,115871.5,12.70039,115871.51,5.09799
112,2025-09-13 20:43:09,115871.5,12.70027,115871.51,5.09799
113,2025-09-13 20:43:09,115871.5,12.70027,115871.51,5.09794
114,2025-09-13 20:43:09,115871.5,12.70027,115871.51,5.09789
115,2025-09-13 20:43:09,115871.5,12.70027,115871.51,5.09784
116,2025-09-13 20:43:09,115871.5,12.70022,115871.51,5.09784
